angle,distance
-0.6258750697651659,255.0,0.003471682139720047
-0.6220353454107784,255.0,0.0034740532209466095
-0.6220353454107784,255.0,0.0034740532209466095
-0.6143558967020034,255.0,0.003478805113062584
-0.6105161723476159,255.0,0.003481185937269567
-0.5989969992844534,255.0,0.0034883480027755103
-0.5913175505756784,255.0,0.003493139107792058
-0.5874778262212909,255.0,0.00349553959898372
-0.5759586531581283,255.0,0.0035027609089134533
-0.5721189288037408,255.0,0.0035051746471235308
-0.5605997557405783,255.0,0.003512435862666898
-0.5567600313861908,255.0,0.0035148629578534685
-0.5567600313861908,255.0,0.0035148629578534685
-0.5452408583230283,255.0,0.003522164410709938
-0.5452408583230283,255.0,0.003522164410709938
-0.5375614096142532,255.0,0.003527048921947856
-0.5375614096142532,255.0,0.003527048921947856
-0.5260422365510907,255.0,0.0035344011435189155
-0.5222025121967032,255.0,0.0035368587002852546
-0.5145230634879282,255.0,0.0035417840808968366
-0.5106833391335407,255.0,0.003544251919049834
-0.4991641660703782,255.0,0.0035516761111637706
-0.4876449930072157,255.0,0.0035591314716765096
-0.4799655442984407,255.0,0.0035641191248585564
-0.47228609558966567,255.0,0.0035691207767336976
-0.46460664688089065,255.0,0.0035741364863193076
-0.46076692252650314,255.0,0.0035766496312872446
-0.4492477494633406,255.0,0.003584210316354858
-0.4454080251089531,255.0,0.0035867376530722347
-0.4338888520457906,255.0,0.003594341093790818
-0.4300491276914031,255.0,0.0035968827428093184
-0.42236967898262806,255.0,0.003601976839702407
-0.41852995462824055,255.0,0.003604529302881748
-0.4108505059194655,255.0,0.003609645097130817
-0.4108505059194655,255.0,0.003609645097130817
-0.4031710572106904,255.0,0.0036147754333883198
-0.39549160850191534,255.0,0.0036199203737475455
-0.38397243543875276,255.0,0.0036276653036780176
-0.3762929867299777,255.0,0.003632847028279143
-0.3724532623755902,255.0,0.003635443445693872
-0.3647738136668151,255.0,0.0036406474305112255
-0.3609340893124276,255.0,0.0036432550138860223
-0.3570943649580401,255.0,0.003645866335257841
-0.3532546406036526,255.0,0.00364848140267013
-0.3455751918948775,255.0,0.0036537228079054746
-0.33789574318610244,255.0,0.0036589792944030255
-0.32637657012293986,255.0,0.003666892444209816
-0.32253684576855235,255.0,0.0036695377722988343
-0.31101767270538977,255.0,0.003677496706587109
-0.2994984996422272,255.0,0.003685490240504563
-0.2956587752878397,255.0,0.0036881624796413362
-0.2802998778702896,255.0,0.003698890300123933
-0.2802998778702896,255.0,0.003698890300123933
-0.2726204291615145,255.0,0.0037042776475958053
-0.268780704807127,255.0,0.00370697721052996
-0.2649409804527395,255.0,0.003709680711049582
-0.25726153174396443,255.0,0.003715099559355762
-0.2534218073895769,255.0,0.003717814924460648
-0.24574235868080185,255.0,0.0037232575800599777
-0.24190263432641435,255.0,0.003725984888025256
-0.23806290997202684,255.0,0.0037287161944575243
-0.23038346126325177,255.0,0.0037341908379472386
-0.23038346126325177,255.0,0.0037341908379472386
-0.2227040125544767,255.0,0.003739681581236512
-0.21886428820008919,255.0,0.003742433012515841
-0.2111848394913141,255.0,0.003747948038992708
-0.19582594207376403,255.0,0.0037590269993156592
-0.17662732030182643,255.0,0.003772968149243013
-0.16894787159305136,255.0,0.003778573606311208
-0.15742869852988878,255.0,0.003787013091536744
-0.1497492498211137,255.0,0.003792660390343948
-0.1420698011123387,255.0,0.0037983245571219155
-0.1305506280491761,255.0,0.003806852600424781
-0.1305506280491761,255.0,0.003806852600424781
-0.12671090369478855,255.0,0.0038097037977944006
-0.12671090369478855,255.0,0.0038097037977944006
-0.12671090369478855,255.0,0.0038097037977944006
-0.12287117934040102,255.0,0.003812559269256261
-0.12287117934040102,255.0,0.003812559269256261
-0.11519173063162598,255.0,0.0038182830729569296
-0.10751228192285094,255.0,0.0038240240888166733
-0.09215338450530085,255.0,0.0038355580685041453
-0.06911503837897569,255.0,0.0038529900884328307
-0.061435589670200644,255.0,0.0038588360266523995
-0.046076692252650556,255.0,0.003870581283472514
-0.04223696789826302,255.0,0.0038735287778712117
-0.026878070480712918,255.0,0.0038853637836758306
-0.019198621771937874,255.0,0.003891308448181085
-0.019198621771937874,255.0,0.003891308448181085
-0.01151917306316283,255.0,0.003897271331411873
-0.007679448708775308,255.0,0.003900259631242194
0.0038397243543872722,255.0,0.0039032525172496384
0.007679448708774794,255.0,0.003900259631242194
0.023038346126324896,255.0,0.003888333843810319
0.023038346126324896,255.0,0.003888333843810319
0.03455751918948747,255.0,0.003879437254526458
0.03455751918948747,255.0,0.003879437254526458
0.04607669225265004,255.0,0.003870581283472514
0.05375614096142509,255.0,0.0038646997312941937
0.06527531402458767,255.0,0.0038559108417902657
0.07679448708775025,255.0,0.0038471618360119784
0.08447393579652529,255.0,0.00384135118925342
0.09215338450530033,255.0,0.003835558068504146
0.10367255756846291,163.20000000000002,0.005966423114190872
0.11135200627723796,255.0,0.0038211514245181555
0.12287117934040054,255.0,0.003812559269256262
0.13055062804917558,156.9,0.006171971283779253
0.13823007675795063,156.5,0.006178398256168089
0.1459095254667257,156.5,0.00616917798280809
0.1459095254667257,155.9,0.006192769485610415
0.15742869852988828,155.9,0.0061789378676444014
0.17278759594743837,155.0,0.00619613341100498
0.18430676901060095,154.9,0.00618633162593304
0.19582594207376353,154.70000000000002,0.006180545355329535
0.20350539078253857,154.70000000000002,0.006171423969362954
0.21118483949131361,154.70000000000002,0.006162329466808818
0.2265437369088637,154.70000000000002,0.006144220637934875
0.23806290997202628,154.20000000000002,0.006150459702197978
0.25726153174396393,153.9,0.006139867573886864
