time,voltage,current,LLR
0.05244851112365723,7237333,266666,0
0.09470629692077637,7035066,1068000,0
0.12603425979614258,7117400,774666,0
0.1503145694732666,7131466,696000,0
0.17850732803344727,7140533,709333,0
0.2071843147277832,7148866,650666,0
0.23164701461791992,7155600,578666,0
0.2575678825378418,7172333,526666,0
0.2846825122833252,7190066,481333,0
0.31188035011291504,7179733,468000,0
0.3373091220855713,7180733,494666,0
0.3654956817626953,7181066,501333,0
0.3958096504211426,7190066,474666,0
0.42072510719299316,7189133,462666,0
0.4458005428314209,7188800,456000,0
0.4743020534515381,7188800,449333,0
0.5003054141998291,7189133,468000,0
0.527618408203125,7188800,462666,0
0.5515191555023193,7198800,442666,0
0.578702449798584,7197800,442666,0
0.6080303192138672,7197800,436000,0
0.6367146968841553,7197800,442666,0
0.6650216579437256,7197466,436000,0
0.6911725997924805,7197466,436000,0
0.7214820384979248,7188133,436000,0
0.7465100288391113,7198133,436000,0
0.7715907096862793,7188133,442666,0
0.8017029762268066,7198466,442666,0
0.8277463912963867,7197800,442666,0
0.8542771339416504,7198466,449333,0
0.8794577121734619,7188466,456000,0
0.9059903621673584,7188466,449333,0
0.9319987297058105,7189133,449333,0
0.9570498466491699,7189133,456000,0
0.982710599899292,7189133,456000,0
1.0084848403930664,7188800,462666,0
1.0347895622253418,7198800,449333,0
1.058488130569458,7198466,442666,0
1.0856118202209473,7198466,442666,0
1.110443115234375,7198800,456000,0
1.1358833312988281,7199133,456000,0
1.162435531616211,7179400,474666,0
1.1946263313293457,7181400,508000,0
1.2187023162841797,7172666,521333,0
1.2446985244750977,7180400,488000,0
1.2684402465820312,7189133,462666,0
1.2972440719604492,7188466,449333,0
1.3207776546478271,7198133,442666,0
1.3463380336761475,7197800,436000,0
1.372694969177246,7197466,429333,0
1.405616283416748,7197466,429333,0
1.4326024055480957,7205466,429333,0
1.4585652351379395,7197466,436000,0
1.4855363368988037,7197800,436000,0
1.5097076892852783,7197800,442666,0
1.538649559020996,7197800,436000,0
1.57145357131958,7197466,422666,0
1.6064059734344482,7205133,416000,0
1.6357367038726807,7197133,422666,0
1.660327672958374,7197133,422666,0
1.688403844833374,7198133,449333,0
1.7136292457580566,7198800,449333,0
1.7397167682647705,7198133,449333,0
1.76517653465271,7188133,436000,0
1.7959578037261963,7188466,436000,0
1.8201982975006104,7198466,456000,0
1.8590245246887207,7057466,996000,1
1.8892872333526611,7065866,950666,1
1.9151782989501953,7091600,866666,1
1.9399793148040771,7107400,761333,1
1.967332363128662,7131800,722666,1
1.9986424446105957,7130533,677333,1
2.0245578289031982,7148866,664000,1
2.0513713359832764,7138200,644000,1
2.0774712562561035,7157266,618666,1
2.105865478515625,7156933,618666,1
2.131430149078369,7157266,632000,1
2.155959129333496,7156266,618666,1
2.185694456100464,7165600,592000,1
2.211970090866089,7091600,860000,1
2.2374823093414307,7139866,670666,1
2.26461124420166,7140200,677333,1
2.2999842166900635,7146933,605333,1
2.326491594314575,7115466,722666,1
2.3503799438476562,7107733,768000,1
2.376159191131592,7129866,664000,1
2.4078147411346436,7164933,573333,1
2.431849241256714,7173333,540000,1
2.4576706886291504,7172333,526666,1
2.4871156215667725,7171400,521333,1
2.515310525894165,7181400,501333,1
2.5408058166503906,7170733,488000,1
2.567924976348877,7181400,501333,1
2.5954487323760986,7189733,481333,1
2.6245319843292236,7189400,462666,1
2.6506166458129883,7188466,442666,1
2.676804542541504,7198133,436000,1
2.707916021347046,7197800,436000,1
2.7341911792755127,7197800,436000,1
2.761737108230591,7188133,449333,1
2.796037197113037,7188800,456000,1
2.825651168823242,7180066,494666,1
2.8546547889709473,7155266,573333,1
2.8786799907684326,7180733,494666,1
2.9103715419769287,7181066,488000,1
2.9375650882720947,7180733,488000,1
2.964670419692993,7198133,442666,1
2.9905643463134766,7197466,422666,1
3.0175273418426514,7197800,436000,1
3.04561710357666,7197133,422666,1
3.0704123973846436,7197466,429333,1
3.0980706214904785,7198133,449333,1
3.122563362121582,7199133,462666,1
3.1478874683380127,7189133,456000,1
3.1730687618255615,7188466,449333,1
3.2067816257476807,7197800,436000,1
3.229950189590454,7198133,442666,1
3.2527968883514404,7188800,456000,1
3.2787415981292725,7189133,468000,1
3.3059909343719482,7188800,456000,1
3.3400540351867676,7034400,1088000,2
3.368032217025757,7052400,1042666,2
3.396481990814209,7074533,912000,2
3.4216365814208984,7108400,801333,2
3.4460363388061523,7124133,736000,2
3.4702672958374023,7129866,677333,2
3.495976448059082,7148533,644000,2
3.524359941482544,7156933,612000,2
3.5558860301971436,7155600,592000,2
3.5917248725891113,7083266,872000,2
3.6303632259368896,7130800,677333,2
3.657932996749878,7147266,592000,2
3.693164825439453,7130800,690666,2
3.718672752380371,7099000,781333,2
3.7436037063598633,7139200,670666,2
3.7688019275665283,7189133,474666,2
3.795549154281616,7189733,488000,2
3.821352958679199,7189400,462666,2
3.8453502655029297,7189133,462666,2
3.8702192306518555,7189400,474666,2
3.89733624458313,7180066,474666,2
3.946347713470459,7189133,449333,2
4.005783319473267,7188800,449333,2
4.056240558624268,7189400,468000,2
4.088514804840088,7198800,456000,2
4.130068302154541,7198466,449333,2
4.1726157665252686,7058466,1009333,3
4.199246644973755,7066866,977333,3
4.223210573196411,7084266,905333,3
4.247587203979492,7108066,820000,3
4.271847248077393,7115133,722666,3
4.2971556186676025,7141133,684000,3
4.324706077575684,7139200,644000,3
4.35009765625,7147866,637333,3
4.37604832649231,7147600,618666,3
4.40946888923645,7146266,612000,3
