angle,distance,weight
-0.3609340893124273,33.800000000000004,0.026800956423989133
-0.3570943649580398,33.800000000000004,0.026820166144425495
-0.3570943649580398,33.800000000000004,0.026820166144425495
-0.34941491624926474,33.800000000000004,0.026858668315876306
-0.33405601883171465,33.800000000000004,0.026936005248593013
-0.31869712141416456,33.800000000000004,0.027013788835815164
-0.307177948351002,33.800000000000004,0.0270724219760113
-0.2994984996422269,33.800000000000004,0.027111652343941608
-0.29181905093345184,33.6,0.02730793875023761
-0.28029987787028926,33.6,0.027367512047159735
-0.2726204291615142,33.4,0.027566717377457157
-0.2572615317439641,33.0,0.027972514329266916
-0.241902634326414,33.0,0.02805447445101369
-0.22654373690886392,32.800000000000004,0.028303406903149708
-0.21118483949131384,32.800000000000004,0.028386825384086777
-0.19582594207376375,32.6,0.02864020570907169
-0.18814649336498868,32.6,0.02868259868911434
-0.1727875959474386,32.6,0.028767762265380258
-0.16510814723866352,32.1,0.029245738425331156
-0.15358897417550094,32.1,0.029311107767738844
-0.1459095254667259,32.1,0.029354849918195584
-0.13823007675795085,32.1,0.029398722820135163
-0.12287117934040076,32.1,0.029486863230501602
-0.10751228192285067,32.1,0.029575533738280015
-0.09215338450530058,32.6,0.029223299569555397
-0.080634211442138,32.6,0.029289556700301048
-0.06911503837897542,32.1,0.02979956080479772
-0.06143558967020038,32.1,0.029844774103414327
-0.04607669225265029,32.1,0.02993561355193243
-0.03839724354387525,32.1,0.029981240960357272
-0.02303834612632516,32.1,0.030072914320708206
-0.003839724354387536,32.1,0.030188297414377865
0.007679448708775044,32.2,0.030074291132469927
0.019198621771937624,32.2,0.030005269961878245
0.030717794835100204,32.6,0.02958017719902763
0.04223696789826278,32.6,0.029512600212352087
0.04991641660703783,32.2,0.029822752935729117
0.0614355896702004,32.2,0.029754880205512476
0.07295476273336297,32.1,0.029777005488473438
0.08063421144213803,32.0,0.02982209409485198
0.0921533845053006,32.0,0.02975463228900186
0.10367255756846318,32.0,0.029687475010610344
0.11519173063162574,32.0,0.02962062020233255
0.1228711793404008,32.1,0.029486863230501602
0.13439035240356337,32.0,0.029509862148331338
0.14974924982111348,32.0,0.02942185030085002
0.15742869852988853,32.1,0.029289285541794757
0.1689478715930511,32.0,0.029312571006535434
0.18430676901060122,32.0,0.029225730317665483
0.19198621771937624,32.0,0.02918250264187061
0.20350539078253882,32.0,0.02911790036453976
0.2150245638457014,32.0,0.029053583479848485
0.22270401255447647,32.0,0.02901086317565294
0.23422318561763902,32.0,0.028947017760243388
0.2457423586808016,32.0,0.028883452742283464
0.25342180738957665,32.0,0.02884123092914927
0.26110125609835166,32.0,0.028799132375474483
0.2726204291615143,11.3,0.07709716079548994
0.2918190509334519,11.200000000000001,0.07744710498018206
0.29949849964222697,10.700000000000001,0.08063978645890324
0.314857397059777,10.3,0.08325301001509036
0.32253684576855207,10.100000000000001,0.08463078105481997
0.33405601883171465,10.100000000000001,0.08444801645504836
0.34557519189487723,10.100000000000001,0.08426603953367581
