angle,distance,weight
-0.36093408931242743,19.1,0.04640165589824983
-0.36093408931242743,19.1,0.04640165589824983
-0.35325464060365236,19.1,0.046468220849928035
-0.34941491624926485,19.1,0.04650157499465152
-0.34557519189487734,19.1,0.04653497705591053
-0.33405601883171476,19.1,0.04663547177368343
-0.3186971214141647,19.1,0.04677014186499342
-0.3071779483510021,19.1,0.046871655958467325
-0.299498499642227,19.1,0.04693957719249592
-0.2956587752878395,19.1,0.04697361168100408
-0.28797932657906444,19.1,0.04704182893740617
-0.28029987787028937,19.1,0.04711024461849387
-0.2726204291615143,19.1,0.04717885959126995
-0.2649409804527392,19.1,0.04724767472779567
-0.24574235868080163,19.1,0.04742059405449523
-0.23038346126325154,19.1,0.04755984350818373
-0.20350539078253888,19.1,0.04780550806118468
-0.18046704465621372,19.1,0.048018106622658874
-0.16894787159305114,19.1,0.04812511657789399
-0.15358897417550105,19.1,0.04826854065234606
-0.14206980111233847,19.1,0.04837667097627912
-0.1305506280491759,19.0,0.0487277132854372
-0.12287117934040086,19.0,0.04880075864648015
-0.11135200627723828,19.0,0.04891073823383239
-0.08831366015091313,19.900000000000002,0.04701645097752683
-0.07295476273336303,19.5,0.048078969837486385
-0.05759586531581293,19.8,0.0475294234229221
-0.04991641660703788,19.700000000000003,0.04783166171334332
-0.038397243543875303,19.700000000000003,0.04794101815400124
-0.026878070480712734,20.3,0.046697329982207166
-0.011519173063162632,20.3,0.0468404441709596
-5.898059818321144e-17,20.900000000000002,0.045662100456621
0.011519173063162516,19.8,0.04796641638660767
0.026878070480712616,21.1,0.0450069288968784
0.042236967898262714,20.3,0.0465550876589216
0.053756140961425294,21.700000000000003,0.04358427890798738
0.057595865315812816,20.900000000000002,0.045142100785241085
0.06527531402458786,22.1,0.04273217209949385
0.07679448708775044,20.900000000000002,0.044971389498587505
0.09215338450530053,28.6,0.0331723941059818
0.10367255756846311,21.1,0.044329713816748474
0.11135200627723815,23.3,0.04025575163278386
0.12287117934040073,23.3,0.04016523345389313
0.1343903524035633,23.3,0.04007512143600552
0.14206980111233836,23.3,0.0400152710544531
0.1459095254667259,23.3,0.039985412851533904
0.15742869852988847,23.3,0.03989610499725953
0.16894787159305105,23.3,0.039807195194060466
0.1766273203018261,23.3,0.03974814181918565
0.18814649336498868,23.3,0.039659889545442056
0.19582594207376372,23.3,0.039601272091555915
0.2111848394913138,10.3,0.08490926530815339
0.2227040125544764,10.3,0.08472198980500416
0.23038346126325143,10.100000000000001,0.08612187878508945
0.23806290997202648,10.100000000000001,0.08599561673703839
0.24958208303518906,9.9,0.08738135513923734
0.2611012560983516,9.5,0.09051155889434837
0.2726204291615142,9.5,0.09031381693185962
0.28413960222467677,9.5,0.09011693710552142
0.29181905093345184,9.5,0.08998616007221155
0.2994984996422269,9.5,0.08985576205420648
0.3110176727053895,9.5,0.08966087208440951
0.32253684576855207,9.5,0.08946682568652398
0.33405601883171465,9.5,0.08927361739533685
0.34557519189487723,9.5,0.08908124179274302
